NATO Code,OR-9,,,,,,OR-8,,OR-7,,OR-6,,,,,,OR-5,,,,,,OR-4,,,,OR-3,,OR-2,,,,,,OR-1,
Army,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
United Kingdom (Edit),,,,,,,,,,,,,,,,,No equivalent,,,,,,,,,,,,No insignia,,,,,,,
,Warrant officer class 1,,,,,,Warrant officer class 2,,Staff/Colour sergeant,,Sergeant,,,,,,,Corporal,,,,Lance corporal,,Private (or equivalent),,,,,,,,,,,,
United States (Edit),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No insignia,
,Sergeant Major of the Army,,Command sergeant major,,Sergeant major,,First sergeant,Master sergeant,Sergeant first class,,Staff sergeant,,,,,,Sergeant,,,,,,Corporal,,Specialist,,Private first class,,Private,,,,,,Private,
NATO Code,OR-9,,,,,,OR-8,,OR-7,,OR-6,,,,,,OR-5,,,,,,OR-4,,,,OR-3,,OR-2,,,,,,OR-1,
Navy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
United Kingdom (Edit),,,,,,,No equivalent,,,,,,,,,,No equivalent,,,,,,,,,,No equivalent,,,,,,,,No equivalent,
,Warrant officer,,,,,,,Chief petty officer,,Petty officer,,,,,,Leading rate,,,,Able rate,,,,,,,,,,,,,,,,
United States (Edit),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No insignia,
,Master Chief Petty Officer of the Navy,,Fleet/Force Master Chief Petty Officer,Command Master Chief Petty Officer,Master Chief Petty Officer,,Command Senior Chief Petty Officer,Senior Chief Petty Officer,Chief Petty Officer,,Petty Officer First Class,,,,,,Petty Officer Second Class,,,,,,Petty Officer Third Class,,,,Seaman,,Seaman Apprentice,,,,,,Seaman Recruit,
NATO Code,OR-9,,,,,,OR-8,,OR-7,,OR-6,,,,,,OR-5,,,,,,OR-4,,,,OR-3,,OR-2,,,,,,OR-1,
Marine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
United Kingdom (Royal Marines) (Edit),,,,,,,,,,,,,,,,,No equivalent,,,,,,,,,,,,No equivalent,,,,,,No insignia,
,Warrant officer class 1,,,,,,Warrant officer class 2,,Colour sergeant,,Sergeant,,,,,,,Corporal,,,,Lance corporal,,Marine,,,,,,,,,,,,
United States (Marine Corps) (Edit),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No Insignia,
,Sergeant Major of the Marine Corps,,Sergeant Major,,Master Gunnery Sergeant,,First Sergeant,Master Sergeant,Gunnery Sergeant,,Staff Sergeant,,,,,,Sergeant,,,,,,Corporal,,,,Lance Corporal,,Private First Class,,,,,,Private,
NATO Code,OR-9,,,,,,OR-8,,OR-7,,OR-6,,,,,,OR-5,,,,,,OR-4,,,,OR-3,,OR-2,,,,,,OR-1,
Air Force,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
United Kingdom (Edit),,,,,,,No equivalent,,,,,,,,,,No equivalent,,,,,,,,,,,,,,,,,,No insignia,
,Warrant officer,,,,,,,Flight sergeant,Chief technician,Sergeant,,,,,,Corporal,,,,Lance corporal RAF Regiment only,,Senior aircraftman/ woman technician,,Senior aircraftman/ woman,,Leading aircraftman/ woman,,Aircraftman/ woman,,,,,,,,
United Kingdom (Aircrew) (Edit),,,,,,,No equivalent,,,,,,,,,,No equivalent,,,,,,,,,,,,,,,,,,,
,Master aircrew,,,,,,,Flight sergeant aircrew,,Sergeant aircrew,,,,,,,,,,,,,,,,,,,,,,,,,,
United States (Edit),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No insignia,
,Chief Master Sergeant of the Air Force,,Command Chief Master Sergeant (Command Chief),,Chief Master Sergeant,,Senior Master Sergeant,,Master Sergeant,,Technical Sergeant,,,,,,Staff Sergeant,,,,,,Senior Airman,,,,Airman First Class,,Airman,,,,,,Airman Basic,
NATO Code,OR-9,,,,,,OR-8,,OR-7,,OR-6,,,,,,OR-5,,,,,,OR-4,,,,OR-3,,OR-2,,,,,,OR-1,
