Name,Producer,Sold mixed with,,,,,Sold in,,,D/C*
,,Cola,Lemonade,Citrus,Milk,Stimulant,US,Australia,UK,
3sum,United Brands Company,No,No,Yes,No,Yes,No,No,No,Yes
Country Coolers,Jack Daniels (Brown-Forman),Yes,Yes,No,No,No,Yes,No,No,No
Four Loko,Phusion Projects Inc.,No,Yes,Yes,No,No,Yes,No,Yes,No
Jeremiah Weed,Diageo,Yes,Yes,No,No,No,Yes,No,Yes,No
Joose,United Brands Company,No,No,Yes,No,No,Yes,No,Yes,No
Sparks,Miller Brewing Company,No,No,Yes,No,No,Yes,No,No,No
White Mountain Cooler,Stroh Brewery Company,No,No,Yes,No,No,Yes,No,No,No
Zima XXX,Coors Brewing Company,No,No,Yes,No,No,Yes,No,No,Yes
Tilt,Anheuser-Busch,No,No,Yes,No,No,Yes,No,No,No
