Esperanto,IPA,Novial
"A, a",{{IPAblink|a}},"A, a"
"B, b",{{IPAblink|b}},"B, b"
"C, c",{{IPAblink|ts}},"Ts, ts; S, s"
"Ĉ, ĉ",{{IPAblink|tʃ}},"Ch, ch; Sh, sh"
"D, d",{{IPAblink|d}},"D, d"
"E, e",{{IPAblink|e}} or {{IPAblink|ɛ}},"E, e"
"F, f",{{IPAblink|f}},"F, f"
"G, g",{{IPAblink|ɡ}},"G, g"
"Ĝ, ĝ",{{IPAblink|dʒ}},"J, j"
"H, h",{{IPAblink|h}},"H, h"
"Ĥ, ĥ",{{IPAblink|x}},"K, k"
"I, i",{{IPAblink|i}},"I, i"
"J, j",{{IPAblink|j}},"Y, y"
"Ĵ, ĵ",{{IPAblink|ʒ}},"J, j"
"K, k",{{IPAblink|k}},"K, k"
"L, l",{{IPAblink|l}},"L, l"
"M, m",{{IPAblink|m}},"M, m"
"N, n",{{IPAblink|n}},"N, n"
"O, o",{{IPAblink|o}} or {{IPAblink|ɔ}},"O, o"
"P, p",{{IPAblink|p}},"P, p"
Kv kv,{{IPA|[kv]}},"Qu, qu"
"R, r",{{IPAblink|r}},"R, r"
"S, s",{{IPAblink|s}},"S, s; Z, z"
"Ŝ, ŝ",{{IPAblink|ʃ}},"Sh, sh; Ch, ch"
"T, t",{{IPAblink|t}},"T, t"
"U, u",{{IPAblink|u}},"U, u"
"Ŭ, ŭ",{{IPA|[u̯]}},"U, u (after a vowel)"
"V, v",{{IPAblink|v}},"V, v; W, w"
"Ks, ks; kz","{{IPA|[ks], [ɡz]}}","X, x"
"Z, z",{{IPAblink|z}},"Z, z; S, s"
