Grapheme,Danish,,,Norwegian,,
,In stressed onset,Elsewhere (single),Elsewhere (double),In stressed onset,Elsewhere,
b,{{IPA|[b̥]}},"{{IPA|[b̥, ʊ̯]}}",{{IPA|[b̥]}},{{IPA|[b]}},{{IPA|[b]}},
d,{{IPA|[d̥]}},{{IPA|[ð̪]}},{{IPA|[ð̪]}},{{IPA|[d]}},{{IPA|[d]}},
g,{{IPA|[ɡ̊]}},"{{IPA|[-, ɪ̯, ʊ̯]}}",{{IPA|[ɡ̊]}},{{IPA|[ɡ]}},{{IPA|[ɡ]}},
k,{{IPA|[kʰ]}},{{IPA|[ɡ̊]}},{{IPA|[ɡ̊]}},{{IPA|[kʰ]}},{{IPA|[k]}},
p,{{IPA|[pʰ]}},{{IPA|[b̥]}},{{IPA|[b̥]}},{{IPA|[pʰ]}},{{IPA|[p]}},
r,{{IPA|[ʁ]}},"{{IPA|[ɐ̯, -]}}",,{{IPA|[r]}},{{IPA|[r]}},
t,{{IPA|[tˢ]}},{{IPA|[d̥]}},{{IPA|[d̥]}},{{IPA|[tʰ]}},{{IPA|[t]}},
v,{{IPA|[ʋ]}},{{IPA|[ʊ̯]}},{{IPA|[ʊ̯]}},{{IPA|[ʋ]}},{{IPA|[ʋ]}},
