Meaning,Portuguese,Spanish < Arabic
stonemason,pedreiro < pedra < Lat. {{sm|petra}},albañil < al-bannī
mayor,"presidente da câmara (Portugal), prefeito (Brazil): < presidir < Lat. {{sm|praesidēre}}; < Lat. {{sm|camera}}; < Lat. {{sm|praefectus}}",alcalde < al-qāḍī
"monkey, macaque","macaco < Uncertain, maybe Bantu {{sm|makaku}}",mono < ﻣﻴﻤﻮﻥ (maymūn)
aloe,aloé < Lat. {{sm|aloe}},"sábila, acíbar, zábila < Hisp.-Ar. aṣṣibr, ṣabbāra, ṣábbira < ṣábir (Spanish also has aloe)"
"blackbird, thrush","melro, tordo < Lat. {{sm|merŭlus}}, < Lat. {{sm|turdus}}",zorzal < zurzál < zurzūr[14] (Spanish also has mirlo)
cruet (set),galheteira(s) < Fr. gallette (< Gaulish gallos) + Port. suffix -eira,alcuza < al-kūza (< Aram. kūz[ā] < Pers. kuze)[15]
gannet,mergulhão < Vulg.Lat. {{sm|merguliāre}} < {{sm|mergulus}},"alcatraz < Hisp.-Ar. *qaṭrās[16] or qaṭṭās[17] (Spanish also has somormujo, somorgujo)"
bishop (chess),bispo < Lat. {{sm|episcopus}},alfil < al-fīl 'elephant'
potter,oleiro < Lat. {{sm|ollārius}},"alcaller, alfarero < Hisp-Ar. alqallál,[18] alfaẖẖār < فخ خار[19]"
"fuss, overreaction","gritaria, confusão < Lat. {{sm|critare}}, < Lat. {{sm|confusionis}}",alharaca < Hisp-Ar. alḥaráka < ḥarakah[20]
"sparrowhawk, shabby, pen-pusher","falcão-peregrino, pelintra, lacaio < Lat. {{sm|falco + peregrinus}}, < Uncertain origin, < Fr. {{sm|laquai}}",tagarote < Berber táhért or maybe < Ar. táhurtí
cork oak,sobreiro < Lat. {{sm|(quercus) suber}},alcornoque < Hisp.-Ar alqurnúq < Lat. quernus + Hisp suffix occus
cobble (stone),paralelo < Gr. {{sm|παραλληλεπίπεδον}},adoquín < addukkín < دكان (dukkān)
defence (player),defesa (jogador) < Lat. {{sm|defensa}},"zaguero < sáqa, < sāqah (Sp. also has defensa (jugador))"
"epilepsy, apoplexy","epilepsia, apoplexia < Lat. < Gr. {{sm|epilepsĭa < ἐπιληψία}}, < Lat. < Gr. {{sm|apoplexĭa < ἀποπληξία}}",1lBSg65
sales tax,imposto de venda < Lat. {{sm|imponĕre + venditus}},alcabala < Hisp.-Ar. alqabála
flight attendant,hospedeira < Lat. {{sm|hospitem}} (+ Port. -eira),azafata < as-sáfat (Latin-American Spanish tends to use auxiliar de vuelo)
indigo,índigo < Lat. {{sm|indicum}},añil < Hisp.-Ar. an-Nile
lavender,lavanda < Lat. {{sm|lavandula}},alhucema < Ar. لْخُزَامَى al-ḵuzāmā[21]
