Latin,Spanish,Portuguese,Examples,Meaning
"{{sm|cl}}-, {{sm|fl}}-, {{sm|pl}}-",ll- or pl,ch-,"{{sm|clāmāre}} → S. llamar, P. chamar {{sm|plumbum}} → S. plomo, P. chumbo {{sm|flammam}} → S. llama, P. chama {{sm|plēnum}} → S. lleno, P. cheio (also pleno)",'to call' 'lead' (metal) 'flame' 'full'
"-{{sm|lt}}-, -{{sm|ct}}-",-ch-,-it-,"{{sm|multum}} → S. mucho, P. muito {{sm|noctem}} → S. noche, P. noite {{sm|pectum}} → S. pecho, P. peito",'much' 'night' 'chest'
{{sm|f}}-,h- (later silent) or f-,f-,"{{sm|fābulāre}} → S. hablar, P. falar {{sm|fīlium}} → S. hijo, P. filho {{sm|focum}} → S. fuego, P. fogo",'to speak' 'son' 'fire'
{{sm|j(a)}}-,ya-,ja-,"{{sm|iam}} → S. ya, P. já {{sm|iacere}} → S. yacer, P. jazer (both archaic)","'already' 'to lie, as in a grave'"
-{{sm|l}}-,-l-,(elided),"{{sm|caelum}} → S. cielo, P. céu (arch. ceo) {{sm|volāre}} → S. volar, P. voar",'sky' 'to fly'
"-{{sm|c(u)l}}-, -{{sm|li}}-",-j-,-lh-,"{{sm|oculum}} → S. ojo, P. olho {{sm|fīlium}} → S. hijo, P. filho",'eye' 'son'
-{{sm|ll}}-,-ll-,-l-,"{{sm|castellum}} → S. castillo, P. castelo",'castle'
-{{sm|n}}-,-n-,(elided),"{{sm|generālem}} → S. general, P. geral {{sm|tenēre}} → S. tener, P. ter",'general' (adj.) 'to have'
-{{sm|ni}}-,-ni-,-nh-,"{{sm|iūnius}} → S. junio, P. Junho",
-{{sm|nn}}-,-ñ-,-n-,"{{sm|annum}} → S. año, P. ano {{sm|cannam}} → S. caña, P. cana",'year' 'reed'
