Classical Latin (spelling),Vulgar Latin (pronunciation),Spanish,,Portuguese,
,,Spelling,Pronunciation,Spelling,Pronunciation
{{sm|a}},{{IPA|/a/}},a ~ á,{{IPA|/a/}},a ~ á ~ â,{{IPA|/a/}} ~ {{IPA|/ɐ/}}1
{{sm|ā}},,,,,
"{{sm|e}}, {{sm|ae}}",{{IPA|/ɛ/}},ie ~ ié,{{IPA|/je̞/}},e ~ é,{{IPA|/ɛ/}}
"{{sm|ē}}, {{sm|oe}}",{{IPA|/e/}},e ~ é,{{IPA|/e̞/}},e ~ ê,{{IPA|/e/}}
{{sm|i}},,,,,
{{sm|ī}},{{IPA|/i/}},i ~ í,{{IPA|/i/}},i ~ í,{{IPA|/i/}}
{{sm|o}},{{IPA|/ɔ/}},ue ~ ué,{{IPA|/we̞/}},o ~ ó,{{IPA|/ɔ/}}
{{sm|ō}},{{IPA|/o/}},o ~ ó,{{IPA|/o̞/}},o ~ ô,{{IPA|/o/}}
{{sm|u}},,,,,
{{sm|ū}},{{IPA|/u/}},u ~ ú,{{IPA|/u/}},u ~ ú,{{IPA|/u/}}
{{sm|au}},{{IPA|/aw/}},o ~ ó,{{IPA|/o̞/}},ou,{{IPA|/ow/}}²
