Name,Producer,Sold mixed with,,,,,Sold in,,,D/C*
,,Cola,Lemonade,Citrus,Milk,Stimulant,US,Australia,UK,
3sum,United Brands Company,{{no}},{{no}},{{yes}},{{no}},{{yes}},{{no}},{{no}},{{no}},{{yes}}
Country Coolers,Jack Daniels (Brown-Forman),{{yes}},{{yes}},{{no}},{{no}},{{no}},{{yes}},{{no}},{{no}},{{no}}
Four Loko,Phusion Projects Inc.,{{no}},{{yes}},{{yes}},{{no}},{{no}},{{yes}},{{no}},{{yes}},{{no}}
Jeremiah Weed,Diageo,{{yes}},{{yes}},{{no}},{{no}},{{no}},{{yes}},{{no}},{{yes}},{{no}}
Joose,United Brands Company,{{no}},{{no}},{{yes}},{{no}},{{no}},{{yes}},{{no}},{{yes}},{{no}}
Sparks,Miller Brewing Company,{{no}},{{no}},{{yes}},{{no}},{{no}},{{yes}},{{no}},{{no}},{{no}}
White Mountain Cooler,Stroh Brewery Company,{{no}},{{no}},{{yes}},{{no}},{{no}},{{yes}},{{no}},{{no}},{{no}}
Zima XXX,Coors Brewing Company,{{no}},{{no}},{{yes}},{{no}},{{no}},{{yes}},{{no}},{{no}},{{yes}}
Tilt,Anheuser-Busch,{{no}},{{no}},{{yes}},{{no}},{{no}},{{yes}},{{no}},{{no}},{{no}}
