! OMF,AAF,MIDI,WAV,MP3,AAC,Ogg,REX2,AIFF,FLAC,Others
Acoustica,{{No}},{{No}},{{No}},{{Yes}},{{Yes}},{{Yes}},{{Yes}},{{No}},{{Yes}},{{Yes}}
Ardour,{{No}}[2],{{No}}[3],{{Unk}},{{Yes}},{{Unk}},{{Unk}},{{Yes}},{{Unk}},{{No}},{{Yes}}
Audacity,{{No}},{{No}},{{No}},{{Yes}},{{Yes}},{{Yes}},{{Yes}},{{No}},{{Yes}},{{Yes}}
AudioDesk,{{Yes}},{{Yes}},{{Yes}},{{Yes}},{{Yes}},{{No}},{{No}},{{Yes}},{{Yes}},{{No}}
Audiotool,{{No}},{{No}},{{No}},{{Partial|Import}},{{Partial|Export}},{{No}},{{Partial|Export}},{{No}},{{No}},{{No}}
Audition,{{Yes}},{{Unk}},{{No}} (unsupported since CS5),{{Yes}},{{Yes}},{{Yes}},{{Yes}},{{No}},{{Yes}},{{Yes}}
BIAS Peak,{{Unk}},{{Unk}},{{Unk}},{{Unk}},{{Unk}},{{Unk}},{{Unk}},{{Unk}},{{Unk}},{{Unk}}
Cubase,{{Yes}},{{Yes}},{{Yes}},{{Yes}},{{Yes}},{{No}},{{Yes}},{{Yes}},{{Yes}},{{Yes}}
Diamond Cut ART,{{Unk}},{{Unk}},{{Unk}},{{Unk}},{{Unk}},{{Unk}},{{Unk}},{{Unk}},{{Unk}},{{Unk}}
Digital Performer,{{Yes}},{{Yes}},{{Yes}},{{Yes}},{{Yes}},{{No}},{{No}},{{Yes}},{{Yes}},{{No}}
Ecasound,{{Unk}},{{Unk}},{{Unk}},{{Unk}},{{Unk}},{{Unk}},{{Unk}},{{Unk}},{{Unk}},{{Unk}}
FL Studio,{{No}},{{No}},{{Yes}},{{Yes}},{{Yes}},{{Yes}},{{Yes}},{{Yes}},{{Partial|Import}},{{Yes}}
GarageBand,{{No}},{{No}},{{Yes}}[4],{{Unk}},{{Yes}},{{Yes}},{{Unk}},{{Unk}},{{No}},{{No}}
Goldwave,{{Unk}},{{Unk}},{{Unk}},{{Yes}},{{Yes}},{{Unk}},{{Yes}},{{Unk}},{{Yes}},{{Yes}}
Harrison Mixbus,{{No}},{{No}},{{Yes}},{{Yes}},{{Unk}},{{Unk}},{{Yes}},{{Unk}},{{No}},{{Yes}}
! OMF,AAF,MIDI,WAV,MP3,AAC,Ogg,REX2,AIFF,FLAC,Others
Jokosher,{{No}},{{No}},{{No}},{{Yes}},{{Yes}},{{Unk}},{{Yes}},{{Unk}},{{Unk}},{{Unk}}
Kristal,{{Unk}},{{Unk}},{{Unk}},{{Unk}},{{Unk}},{{Unk}},{{Unk}},{{Unk}},{{Unk}},{{Unk}}
Live,{{No}},{{No}},{{Yes}},{{Yes}},{{Partial|Import}},{{Yes}},{{Yes}},{{Yes}},{{Yes}},{{Yes}}
LMMS,{{Unk}},{{Unk}},{{Yes}},{{Yes}},{{Yes}},{{Unk}},{{Yes}},{{Unk}},{{Yes}},{{Yes}}
Logic Express/Studio,{{partial}},{{Yes}},{{Yes}},{{Yes}},{{Yes}},{{Yes}},{{Unk}},{{Yes}},{{Yes}},{{Yes}}
Mixcraft,{{No}},{{No}},{{Yes}},{{Yes}},{{Yes}},{{No}},{{Yes}},{{No}},{{Yes}},{{Yes}}
mp3DirectCut,{{No}},{{No}},{{No}},{{No}},{{Yes}},{{No}},{{No}},{{No}},{{No}},{{No}}
MuLab,{{No}},{{No}},{{Yes}},{{Yes}},{{Yes}},{{No}},{{Yes}},{{Yes}},{{Yes}},{{No}}
MusE,{{Unk}},{{Unk}},{{Unk}},{{Unk}},{{Unk}},{{Unk}},{{Unk}},{{Unk}},{{Unk}},{{Unk}}
N-Track,{{No}},{{No}},{{Yes}},{{Yes}},{{Yes}},{{No}},{{Yes}},{{No}},{{Yes}},{{Yes}}
Nuendo,{{Yes}},{{Yes}},{{Yes}},{{Yes}},{{Yes}},{{Yes}},{{Yes}},{{Yes}},{{Yes}},{{No}}
NU-Tech,{{Unk}},{{Unk}},{{Unk}},{{Unk}},{{Unk}},{{Unk}},{{Unk}},{{Unk}},{{Unk}},{{Unk}}
Podium,{{Unk}},{{Unk}},{{Unk}},{{Unk}},{{Unk}},{{Unk}},{{Unk}},{{Unk}},{{Unk}},{{Unk}}
