| {{sort|00000|}},{{sort|00000|Server OS support}},{{sort|00000|Features}},,,,,,,,,,,,{{sort|00000|Storage}},,| {{sort|00000|Users}}
Mail server,Linux/Unix,SMTP,POP3,IMAP,IMAP IDLE,SMTP over TLS,DANE,POP over TLS,IPv6,SSL,Webmail,ActiveSync,Sieve,Database,Filesystem,Other
agorum core,{{yes}},{{yes}},{{no}},{{yes}},{{no}},{{no}},{{no}},{{no}},{{no}},{{yes}},{{yes}},{{no}},{{no}},{{yes}},{{no}},{{no}}
Apache James,{{yes}},{{yes}},{{yes}},{{yes}},{{yes}},{{yes}},{{dunno}},{{yes}},{{Dunno}},{{yes}},{{no}},{{no}},{{yes}},{{yes}},{{yes}},{{no}}
Axigen,{{yes}},{{yes}},{{yes}},{{yes}},{{yes}},{{yes}},{{dunno}},{{yes}},{{yes}},{{yes}},"{{yes|Ajax, Basic & Mobile}}",{{yes}},{{yes}},"{{yes|Proprietary, Embedded, Optimized for Email and Groupware}}",{{no}},{{yes}}
Citadel,{{yes}},{{yes}},{{yes}},{{yes}},{{no}},{{yes}},{{dunno}},{{yes}},{{yes}},{{yes}},{{yes}},{{no}},{{yes}},{{yes}},{{no}},{{no}}
CommuniGate Pro,{{yes}},{{yes}},{{yes}},{{yes}},{{yes}},{{yes}},{{dunno}},{{yes}},{{yes}},{{yes}},{{yes}},{{yes}},{{dunno}},{{yes}},{{yes}},{{yes}}
Courier Mail Server,{{yes}},{{yes}},{{yes}},{{yes}},{{yes}},{{yes}},{{no}},{{yes}},{{yes}},{{yes}},{{yes}},{{no}},{{no|maildrop}},{{no}},{{yes|maildir}},{{no}}
Cyrus IMAP,{{yes}},{{no}},{{yes}},{{yes}},{{yes}},{{no}},{{dunno}},{{yes}},{{yes}},{{yes}},{{no}},{{no}},{{yes}},{{yes}} (indexes),{{yes}},{{yes}}
Dovecot,{{yes}}[4],{{no}},{{yes}},{{yes}},{{yes}},{{no}},{{dunno}},{{yes}},{{yes}},{{yes}},{{no}},{{no}},{{yes}},{{yes}},"{{yes|maildir, mbox, dbox}}",{{no}}
Eudora Internet Mail Server,{{no}},{{yes}},{{yes}},{{yes}},{{dunno}},{{no}},{{dunno}},{{no}},{{Dunno}},{{no}},{{no}},{{no}},{{dunno}},{{no}},{{no}},{{yes}}
Exim,{{yes}},{{yes}},"{{no|Dovecot, UW IMAP}}","{{no|Dovecot, UW IMAP}}","{{no|Dovecot, UW IMAP}}",{{yes}},{{yes}}[6],{{no}},{{yes}},{{yes}},{{no}},{{no}},{{yes}},{{yes}},{{yes}},{{no}}
FirstClass,{{yes}},{{yes}},{{yes}},{{yes}},{{dunno}},{{yes}},{{dunno}},{{yes}},{{Dunno}},{{yes}},{{yes}},{{yes}},{{dunno}},{{yes}},{{yes}},{{yes}}
