Driver,802.11,,,,,Bus interface,Wireless Security,,,Monitor mode,Master (AP) mode,Ad-Hoc mode
,a,b,g,n,ac,,WEP,WPA,WPA2,,,
acx1xx,{{No}},{{Yes}},{{Yes}},{{No}},{{No}},"PCI, Mini PCI, PC card, USB",{{Yes}},{{No}},{{No}},{{Yes}},{{Yes}},{{dunno}}
adm8211,{{dunno}},{{dunno}},{{dunno}},{{dunno}},{{dunno}},PCI,{{dunno}},{{dunno}},{{dunno}},{{dunno}},{{No}},{{dunno}}
carl9170,{{Yes}},{{Yes}},{{Yes}},{{Yes}},{{No}},USB,{{yes}},{{yes}},{{yes}},{{yes}},{{yes}},{{yes}}
ath5k,{{Yes}},{{Yes}},{{Yes}},{{No}},{{No}},"PCI, Mini PCI, PC card, AHB",{{yes}},{{yes}},{{yes}},{{yes}},{{yes}} (since 2.6.31),{{yes}}
ath9k,{{Yes}},{{Yes}},{{Yes}},{{Yes}},{{No}},"PCI, Mini PCI, AHB, PCI Express Mini Card",{{yes}},{{yes}},{{yes}},{{yes}},{{yes}},{{yes}}
ath9k_htc,{{Yes}},{{Yes}},{{Yes}},{{Yes}},{{No}},USB,{{yes}},{{yes}},{{yes}},{{yes}},{{yes}},{{yes}}
ath10k,{{No}},{{No}},{{No}},{{No}},{{Yes}},"PCI, Mini PCI, AHB, PCI Express Mini Card",{{yes}},{{yes}},{{yes}},{{yes}},{{yes}},{{yes}}
b43,{{No}},{{Yes}},{{Yes}},{{No}},{{No}},"PCI, Mini PCI, SDIO ?",{{Yes}},{{Yes}},{{Yes}},{{Yes}},{{yes}},{{Yes}}
bcm43xx,{{No}},{{Yes}},{{Yes}},{{No}},{{No}},"PCI, Mini PCI, PC card, Cardbus",{{Yes}},{{Yes}},{{Yes}},{{Yes}},{{No}},{{dunno}}
Broadcom brcmfmac,{{Yes}},{{Yes}},{{Yes}},{{Yes}},{{No}},"USB, SDIO, PCI Express",{{Yes}},{{Yes}},{{Yes}},Experimental (unofficial firmware patching) [28],{{Yes}}[29],{{No}}
Broadcom brcmsmac,{{Yes}},{{Yes}},{{Yes}},{{Yes}},{{No}},"PCI, Mini PCI, PCI Express Mini Card",{{Yes}},{{Yes}},{{Yes}},{{Yes}},{{Yes}}[30],{{Yes}}[31]
hostap,{{No}},{{Yes}},{{No}},{{No}},{{No}},"PCI, Mini PCI, PC card",{{Yes}},{{Yes}}[32],{{Yes}}[32],{{Yes}},{{Yes}},{{Yes}}
ipw2100,{{No}},{{Yes}},{{No}},{{No}},{{No}},Mini PCI,{{Yes}},{{Yes}},{{Yes}},{{Yes}},{{dunno}},{{dunno}}
ipw2200,{{Yes}},{{Yes}},{{Yes}},{{No}},{{No}},Mini PCI,{{Yes}},{{Yes}},{{Yes}},{{Yes}},{{No}},{{Yes}}
ipw2200-ap,{{No}},{{Yes}},{{Yes}},{{No}},{{No}},Mini PCI,{{dunno}},{{dunno}},{{dunno}},{{Yes}},{{Yes}},{{dunno}}
