,public,private,protected,friend
ABAP Objects,public section.[21] data field type type.,private section.[21] data field type type.,protected section.[21] data field type type.,[22]
C++ (STL),public: type field;,private: type field;,protected: type field;,[23]
C#,public type field «= value»;,private type field «= value»;,protected type field «= value»;,internal type field «= value»;
D,,,,package type field «= value»;
Java,,,protected type field «= value»;,type field «= value»;
eC,public type field;,private type field;,,
Eiffel,feature field: TYPE,feature {NONE} field: TYPE,feature {current_class} field: TYPE,feature {FRIEND} field: TYPE
Objective-C,@public type field;,@private type field;,@protected type field;,@package type field;
Swift,colspan=4 {{n/a}},,,
Smalltalk,colspan=2 {{n/a}},[24],{{n/a}},
Python,self.field = value[25],{{n/a}}[26],colspan=2 {{n/a}},
Visual Basic .NET,Public field As type «= value»,Private field As type «= value»,Protected field As type «= value»,Friend field As type «= value»
Xojo,Public field As type «= value»,Private field As type «= value»,Protected field As type «= value»,{{n/a}}
PHP,public $field «= value»;,private $field «= value»;,protected $field «= value»;,
Perl,$self->{field} = value;[25],colspan=3 {{n/a}},,
Perl 6,has« type »$.field« is rw»,has« type »$!field,colspan=2 {{n/a}},
Ruby,colspan=2 {{n/a}},@field = value[25],,
Windows PowerShell,Add-Member «-MemberType »NoteProperty «-Name »Bar «-Value »value -InputObject variable,colspan=3 {{n/a}},,
OCaml,colspan=2 {{n/a}},val «mutable» field = value,rowspan=2 {{n/a}},
F#,{{n/a}},let «mutable» field = value,{{n/a}},
JavaScript,this.field = value this["field"] = value[25],,,
COBOL,{{n/a}},level-number field clauses.[27],{{n/a}},{{n/a}}
Cobra,var field «as type» «= value»,var __field «as type» «= value»,var _field «as type» «= value»,
ISLISP,(field :initform value :accessor accessor-name :initarg keyword),,,
